,dataset1,dataset2,avg
rte_cola=_SUM,0.5270758122743683,0.3087248322147651,0.4179003222445667
sst2_cola=_SUM,0.48394495412844035,0.6922339405560882,0.5880894473422643
sst2_rte=_SUM,0.4908256880733945,0.5342960288808665,0.5125608584771305
cola_rte=_SUM,0.6912751677852349,0.44404332129963897,0.5676592445424369
cola_sst2=_SUM,0.3096836049856184,0.4908256880733945,0.4002546465295065
rte_sst2=_SUM,0.5234657039711191,0.4908256880733945,0.5071456960222568
tot_Avg__SUM,0.49893503585969357
rte_cola=_TIES,0.5270758122743683,0.8159156279961649,0.6714957201352666
sst2_cola=_TIES,0.39105504587155965,0.8024928092042186,0.5967739275378892
sst2_rte=_TIES,0.5160550458715596,0.8447653429602888,0.6804101944159242
cola_rte=_TIES,0.6912751677852349,0.8628158844765343,0.7770455261308846
cola_sst2=_TIES,0.6912751677852349,0.9587155963302753,0.8249953820577551
rte_sst2=_TIES,0.5270758122743683,0.9288990825688074,0.7279874474215878
tot_Avg__TIES,0.7131180329498846
